sjsu_id,email,first_name,last_name,role,password
S742678387,noreen.cowderoy@yahoo.com,Noreen,Cowderoy,student,Welcome@001
S322678363,franky.garlick@aol.com,Franky,Garlick,student,Welcome@002
S792678437,kelly.nolder@hotmail.com,Kelly,Nolder,student,Welcome@003
S572678415,trevor.pfertner@gmail.com,Trevor,Pfertner,student,Welcome@004
S672678416,welsh.stuer@gmail.com,Welsh,Stuer,student,Welcome@005
S212678352,jeremiah.bosdet@gmail.com,Jeremiah,Bosdet,student,Welcome@006
S412678354,hashim.dorken@hotmail.fr,Hashim,Dorken,student,Welcome@007
S612678356,lora.scrinage@yahoo.com,Lora,Scrinage,student,Welcome@008
S982678429,taber.insko@hotmail.com,Taber,Insko,student,Welcome@009
S192678431,loy.fenlon@hotmail.com,Loy,Fenlon,student,Welcome@010
S162678401,dredi.loosemore@gmail.com,Dredi,Loosemore,student,Welcome@011
S542678385,rafaello.farndell@gmail.com,Rafaello,Farndell,student,Welcome@012
S332678373,saundra.boston@yahoo.com,Saundra,Boston,student,Welcome@013
S152678391,ninnetta.ruddell@hotmail.co.uk,Ninnetta,Ruddell,student,Welcome@014
S942678389,walker.mackeogh@yahoo.com,Walker,MacKeogh,student,Welcome@015
S552678395,roderich.callington@hotmail.com,Roderich,Callington,student,Welcome@016
S652678396,lisle.cushe@yahoo.com,Lisle,Cushe,student,Welcome@017
S712678357,paulie.puttrell@gmx.de,Paulie,Puttrell,student,Welcome@018
S392678433,raff.huguenet@gmail.com,Raff,Huguenet,student,Welcome@019
S822678368,rowan.pedrozzi@yahoo.com,Rowan,Pedrozzi,student,Welcome@020
S952678399,therine.nore@gmail.com,Therine,Nore,student,Welcome@021
S532678375,shanta.zebedee@aol.com,Shanta,Zebedee,student,Welcome@022
S762678407,ludwig.oluby@hotmail.com,Ludwig,O'Luby,student,Welcome@023
S182678421,noni.bullus@gmail.com,Noni,Bullus,student,Welcome@024
S832678378,lorant.duchesne@yahoo.fr,Lorant,Duchesne,student,Welcome@025
S292678432,kirsten.tart@hotmail.com,Kirsten,Tart,student,Welcome@026
S072678410,harriett.wiburn@hotmail.com,Harriett,Wiburn,student,Welcome@027
S862678408,micky.janik@wanadoo.fr,Micky,Janik,student,Welcome@028
S012678350,morey.saer@yahoo.com,Morey,Saer,student,Welcome@029
S362678403,quintin.rawlings@msn.com,Quintin,Rawlings,student,Welcome@030
S092678430,creighton.dingsdale@hotmail.co.uk,Creighton,Dingsdale,student,Welcome@031
S242678382,dulcy.demendoza@aol.com,Dulcy,de Mendoza,student,Welcome@032
S812678358,eilis.halversen@gmail.com,Eilis,Halversen,student,Welcome@033
S912678359,nathalie.pelchat@free.fr,Nathalie,Pelchat,student,Welcome@034
S992678439,sayres.yurinov@gmail.com,Sayres,Yurinov,student,Welcome@035
S782678427,regan.springthorp@yahoo.com,Regan,Springthorp,student,Welcome@036
S282678422,tucker.ondrich@hotmail.co.uk,Tucker,Ondrich,student,Welcome@037
S312678353,ange.buddell@hotmail.com,Ange,Buddell,student,Welcome@038
S132678371,kevina.scurman@msn.com,Kevina,Scurman,student,Welcome@039
S422678364,conway.blakeley@hotmail.fr,Conway,Blakeley,student,Welcome@040
S492678434,evey.hestrop@wanadoo.fr,Evey,Hestrop,student,Welcome@041
S842678388,sibella.causbey@yahoo.es,Sibella,Causbey,student,Welcome@042
S642678386,max.titcumb@yahoo.com,Max,Titcumb,student,Welcome@043
S262678402,will.rame@gmail.com,Will,Rame,student,Welcome@044
S692678436,sisely.leyshon@hotmail.com,Sisely,Leyshon,student,Welcome@045
S172678411,walt.burker@laposte.net,Walt,Burker,student,Welcome@046
S052678390,ethan.borlease@freenet.de,Ethan,Borlease,student,Welcome@047
S932678379,kali.gibbins@yahoo.com,Kali,Gibbins,student,Welcome@048
S122678361,ema.statersfield@hotmail.com,Ema,Statersfield,student,Welcome@049
S582678425,nicky.cornejo@gmail.com,Nicky,Cornejo,student,Welcome@050
S232678372,royall.abrahamowitcz@gmail.com,Royall,Abrahamowitcz,student,Welcome@051
S682678426,ethelyn.northen@hotmail.com,Ethelyn,Northen,student,Welcome@052
S352678393,bianka.gremain@aol.com,Bianka,Gremain,student,Welcome@053
S852678398,randee.scading@gmail.com,Randee,Scading,student,Welcome@054
S592678435,becki.scott@live.com,Becki,Scott,student,Welcome@055
S062678400,zonnya.butterly@orange.fr,Zonnya,Butterly,student,Welcome@056
S342678383,stevena.pinchon@gmail.com,Stevena,Pinchon,student,Welcome@057
S432678374,rochester.rutigliano@hotmail.com,Rochester,Rutigliano,student,Welcome@058
S892678438,coralie.lenham@gmail.com,Coralie,Lenham,student,Welcome@059
S112678351,elberta.blackeby@yahoo.com,Elberta,Blackeby,student,Welcome@060
S522678365,bernadette.trevance@yahoo.com,Bernadette,Trevance,student,Welcome@061
S962678409,torey.colbeck@msn.com,Torey,Colbeck,student,Welcome@062
S662678406,shayne.oppery@gmail.com,Shayne,Oppery,student,Welcome@063
S752678397,aubrette.trett@hotmail.com,Aubrette,Trett,student,Welcome@064
S382678423,jori.gilberthorpe@aim.com,Jori,Gilberthorpe,student,Welcome@065
S732678377,neall.bedburrow@hotmail.fr,Neall,Bedburrow,student,Welcome@066
S142678381,minta.semrad@hotmail.com,Minta,Semrad,student,Welcome@067
S482678424,loree.izacenko@hotmail.com,Loree,Izacenko,student,Welcome@068
S222678362,ingunna.schuchmacher@hotmail.com,Ingunna,Schuchmacher,student,Welcome@069
S032678370,wayne.pettigree@neuf.fr,Wayne,Pettigree,student,Welcome@070
S272678412,fidole.huckster@yahoo.com,Fidole,Huckster,student,Welcome@071
S882678428,osborn.digg@yahoo.com,Osborn,Digg,student,Welcome@072
S622678366,anthiathia.aizlewood@rediffmail.com,Anthiathia,Aizlewood,student,Welcome@073
S922678369,huey.grzes@gmail.com,Huey,Grzes,student,Welcome@074
S372678413,rycca.thunderman@hotmail.com,Rycca,Thunderman,student,Welcome@075
S512678355,dolph.ever@hotmail.com,Dolph,Ever,student,Welcome@076
S252678392,rhys.sheed@msn.com,Rhys,Sheed,student,Welcome@077
S872678418,margarita.swainsbury@hotmail.com,Margarita,Swainsbury,student,Welcome@078
S972678419,gallard.chuck@aol.com,Gallard,Chuck,student,Welcome@079
S722678367,alaric.mcphail@gmail.com,Alaric,McPhail,student,Welcome@080
S082678420,windham.taillard@uol.com.br,Windham,Taillard,student,Welcome@081
S772678417,loella.dealmeida@gmx.de,Loella,de Almeida,student,Welcome@082
S442678384,creight.glaze@aol.com,Creight,Glaze,student,Welcome@083
S452678394,marjory.birkbeck@yahoo.com,Marjory,Birkbeck,student,Welcome@084
S472678414,nicola.pitson@tin.it,Nicola,Pitson,student,Welcome@085
S632678376,marcie.eykelbosch@gmail.com,Marcie,Eykelbosch,student,Welcome@086
S462678404,vaclav.hedditeh@yahoo.es,Vaclav,Hedditeh,student,Welcome@087
S562678405,kean.heathorn@tiscali.it,Kean,Heathorn,student,Welcome@088
S022678360,arline.doumic@gmail.com,Arline,Doumic,student,Welcome@089
S042678380,heath.lorenzo@gmail.com,Heath,Lorenzo,student,Welcome@090
S272678412,tiff.ffrench@hotmail.com,Tiff,Ffrench,student,Welcome@091
S112678351,guss.pavluk@hotmail.com,Guss,Pavluk,student,Welcome@092
S152678391,nowell.dymock@gmail.com,Nowell,Dymock,student,Welcome@093
S932678379,jilleen.whiff@hotmail.com,Jilleen,Whiff,student,Welcome@094
S372678413,carlen.maidens@gmail.com,Carlen,Maidens,student,Welcome@095
S962678409,gray.harford@live.com,Gray,Harford,student,Welcome@096
S072678410,steffi.geaves@yahoo.com,Steffi,Geaves,student,Welcome@097
S042678380,olivier.hackleton@uol.com.br,Olivier,Hackleton,student,Welcome@098
S212678352,frazier.kemshell@hotmail.com,Frazier,Kemshell,student,Welcome@099
S342678383,horton.louch@gmx.de,Horton,Louch,student,Welcome@100
S602276804,danielle.johnson@hotmail.com,Danielle,Johnson,student,Welcome@101
S250165258,carolyn.hoffman@yahoo.com,Carolyn,Hoffman,student,Welcome@102
S863193008,curtis.james@hotmail.com,Curtis,James,student,Welcome@103
S875935868,james.jones@hotmail.com,James,Jones,student,Welcome@104
S702202126,cynthia.ferguson@yahoo.com,Cynthia,Ferguson,student,Welcome@105
S322966171,richard.jones@hotmail.com,Richard,Jones,student,Welcome@106
S965687203,jose.richards@hotmail.com,Jose,Richards,student,Welcome@107
S298363942,ernest.becker@gmail.com,Ernest,Becker,student,Welcome@108
S525832950,kelly.moore@yahoo.com,Kelly,Moore,student,Welcome@109
S167403959,kathryn.ryan@hotmail.com,Kathryn,Ryan,student,Welcome@110
S765261449,todd.jones@hotmail.com,Todd,Jones,student,Welcome@111
S519826617,debra.kim@gmail.com,Debra,Kim,student,Welcome@112
S750309883,carlos.johnson@gmail.com,Carlos,Johnson,student,Welcome@113
S890407714,collin.jordan@gmail.com,Collin,Jordan,student,Welcome@114
S284257239,joshua.wright@yahoo.com,Joshua,Wright,student,Welcome@115
S451235220,timothy.hancock@gmail.com,Timothy,Hancock,student,Welcome@116
S298026219,james.robinson@gmail.com,James,Robinson,student,Welcome@117
S478104447,brian.romero@gmail.com,Brian,Romero,student,Welcome@118
S043821442,christine.barnes@hotmail.com,Christine,Barnes,student,Welcome@119
S948509899,debbie.bryant@yahoo.com,Debbie,Bryant,student,Welcome@120
S448910397,justin.kim@gmail.com,Justin,Kim,student,Welcome@121
S677641207,julia.moore@yahoo.com,Julia,Moore,student,Welcome@122
S304950580,kellie.walsh@hotmail.com,Kellie,Walsh,student,Welcome@123
S849550065,earl.anderson@yahoo.com,Earl,Anderson,student,Welcome@124
S263216499,angel.doyle@gmail.com,Angel,Doyle,student,Welcome@125
S650551302,donna.ross@gmail.com,Donna,Ross,student,Welcome@126
S453985659,daniel.hamilton@hotmail.com,Daniel,Hamilton,student,Welcome@127
S828712236,jennifer.harmon@hotmail.com,Jennifer,Harmon,student,Welcome@128
S498042076,david.fisher@yahoo.com,David,Fisher,student,Welcome@129
S754008958,scott.lowe@gmail.com,Scott,Lowe,student,Welcome@130
S113878822,tracey.carr@hotmail.com,Tracey,Carr,student,Welcome@131
S784619898,april.williams@hotmail.com,April,Williams,student,Welcome@132
S197467217,patricia.simmons@yahoo.com,Patricia,Simmons,student,Welcome@133
S041938826,scott.reeves@hotmail.com,Scott,Reeves,student,Welcome@134
S207356830,jason.perry@yahoo.com,Jason,Perry,student,Welcome@135
S590537491,melissa.ashley@gmail.com,Melissa,Ashley,student,Welcome@136
S270957763,tina.ferguson@yahoo.com,Tina,Ferguson,student,Welcome@137
S633873344,matthew.hobbs@gmail.com,Matthew,Hobbs,student,Welcome@138
S149696350,mary.howell@hotmail.com,Mary,Howell,student,Welcome@139
S456442497,tamara.higgins@hotmail.com,Tamara,Higgins,student,Welcome@140
S056387621,caroline.martinez@yahoo.com,Caroline,Martinez,student,Welcome@141
S248046164,daniel.yu@gmail.com,Daniel,Yu,student,Welcome@142
S607714195,mariah.miller@yahoo.com,Mariah,Miller,student,Welcome@143
S284869598,matthew.beard@yahoo.com,Matthew,Beard,student,Welcome@144
S758587422,laura.davis@hotmail.com,Laura,Davis,student,Welcome@145
S756202235,andrea.bell@yahoo.com,Andrea,Bell,student,Welcome@146
S267045424,jenny.bray@hotmail.com,Jenny,Bray,student,Welcome@147
S687303789,kelly.raymond@gmail.com,Kelly,Raymond,student,Welcome@148
S756224036,crystal.brown@gmail.com,Crystal,Brown,student,Welcome@149
S141603506,kimberly.james@gmail.com,Kimberly,James,student,Welcome@150
S403237378,john.arnold@hotmail.com,John,Arnold,student,Welcome@151
S005936767,michele.jones@gmail.com,Michele,Jones,student,Welcome@152
S862419423,brian.sparks@hotmail.com,Brian,Sparks,student,Welcome@153
S977135959,bill.reynolds@yahoo.com,Bill,Reynolds,student,Welcome@154
S915826368,howard.richards@hotmail.com,Howard,Richards,student,Welcome@155
S056060444,benjamin.miller@yahoo.com,Benjamin,Miller,student,Welcome@156
S841156697,colleen.wolf@hotmail.com,Colleen,Wolf,student,Welcome@157
S853292475,eric.pierce@hotmail.com,Eric,Pierce,student,Welcome@158
S343432258,joshua.davenport@yahoo.com,Joshua,Davenport,student,Welcome@159
S512452474,lori.campbell@gmail.com,Lori,Campbell,student,Welcome@160
S242635395,tina.allen@gmail.com,Tina,Allen,student,Welcome@161
S432737961,morgan.alexander@yahoo.com,Morgan,Alexander,student,Welcome@162
S795211210,courtney.clay@gmail.com,Courtney,Clay,student,Welcome@163
S295618485,brandon.flynn@hotmail.com,Brandon,Flynn,student,Welcome@164
S410948406,felicia.jimenez@gmail.com,Felicia,Jimenez,student,Welcome@165
S153917672,charles.landry@yahoo.com,Charles,Landry,student,Welcome@166
S448936679,ashley.andrews@gmail.com,Ashley,Andrews,student,Welcome@167
S261100452,dana.oliver@gmail.com,Dana,Oliver,student,Welcome@168
S774697669,kristin.walter@hotmail.com,Kristin,Walter,student,Welcome@169
S569801375,jennifer.whitney@hotmail.com,Jennifer,Whitney,student,Welcome@170
S166954004,parker.little@gmail.com,Parker,Little,student,Welcome@171
S209859962,donald.shah@hotmail.com,Donald,Shah,student,Welcome@172
S746915640,corey.burns@gmail.com,Corey,Burns,student,Welcome@173
S368362985,tammy.rush@hotmail.com,Tammy,Rush,student,Welcome@174
