student_id,balance,phone,email,first_name,last_name,emergency_contact,spartan_card_no,department,course,enrollment_year
S742678387,498,(727) 872-7477,noreen.cowderoy@yahoo.com,Noreen,Cowderoy,(727) 872-7477,23529951,Nursing,BSN (Clinical Nursing),2024
S322678363,289,(309) 376-1244,franky.garlick@aol.com,Franky,Garlick,(309) 376-1244,42149694,Political Science,BS (Political Theory),2025
S792678437,530,(614) 862-3557,kelly.nolder@hotmail.com,Kelly,Nolder,(614) 862-3557,48782265,Physics,BS (Theoretical Physics),2023
S572678415,428,(304) 606-1704,trevor.pfertner@gmail.com,Trevor,Pfertner,(304) 606-1704,37293250,Mathematics,BS (Pure Mathematics),2023
S672678416,177,(414) 909-8649,welsh.stuer@gmail.com,Welsh,Stuer,(414) 909-8649,16004495,Psychology,MS (Industrial Psychology),2025
S212678352,667,(720) 370-8912,jeremiah.bosdet@gmail.com,Jeremiah,Bosdet,(720) 370-8912,89682370,Music,BS (Music Composition),2023
S412678354,378,(213) 700-4354,hashim.dorken@hotmail.fr,Hashim,Dorken,(213) 700-4354,87057225,Philosophy,BS (Ethics and Logic),2022
S612678356,859,(845) 387-7491,lora.scrinage@yahoo.com,Lora,Scrinage,(845) 387-7491,20589143,Business,MBA (International Business),2024
S982678429,740,(817) 669-2900,taber.insko@hotmail.com,Taber,Insko,(817) 669-2900,70499234,Theology,BS (Religious Studies),2022
S192678431,75,(619) 365-3540,loy.fenlon@hotmail.com,Loy,Fenlon,(619) 365-3540,88287814,Chemistry,BS (Analytical Chemistry),2025
S162678401,615,(510) 762-0649,dredi.loosemore@gmail.com,Dredi,Loosemore,(510) 762-0649,93405713,Statistics,BS (Statistical Modelling),2024
S542678385,801,(213) 497-3526,rafaello.farndell@gmail.com,Rafaello,Farndell,(213) 497-3526,62815968,Nursing,BSN (Clinical Nursing),2024
S332678373,72,(404) 740-4802,saundra.boston@yahoo.com,Saundra,Boston,(404) 740-4802,43820715,Biology,BS (Molecular Biology),2024
S152678391,174,(814) 444-7852,ninnetta.ruddell@hotmail.co.uk,Ninnetta,Ruddell,(814) 444-7852,34886463,Anthropology,BS (Cultural Anthropology),2022
S942678389,334,(704) 352-3674,walker.mackeogh@yahoo.com,Walker,MacKeogh,(704) 352-3674,86876601,Philosophy,BS (Ethics and Logic),2025
S552678395,712,(830) 327-2051,roderich.callington@hotmail.com,Roderich,Callington,(830) 327-2051,54932271,Environmental Science,BS (Environmental Policy),2025
S652678396,601,(501) 390-8623,lisle.cushe@yahoo.com,Lisle,Cushe,(501) 390-8623,78782349,Theology,BS (Religious Studies),2024
